unixmilli,providers,workers,requests/sec
1727178247373,51,276,601
1727178248373,50,272,537
1727178249374,51,276,516
1727178250375,51,275,571
1727178251375,50,261,610
1727178252376,49,249,463
1727178253377,50,258,407
1727178254378,48,253,373
1727178255379,47,248,360
1727178256380,46,249,358
1727178257381,48,256,358
1727178258382,47,251,350
1727178259383,47,253,221
1727178260384,45,246,88
1727178261384,45,242,0
1727178262385,46,250,0
1727178263385,45,248,0
1727178264386,45,244,0
1727178265387,45,239,1
1727178266387,44,239,122
1727178267387,43,235,237
1727178268388,42,234,354
1727178269389,43,238,405
1727178270389,42,230,399
1727178271391,40,222,276
1727178272392,44,238,161
1727178273392,45,247,45
1727178274393,44,242,0
1727178275393,45,241,0
1727178276395,44,241,0
1727178277395,44,241,0
1727178278396,44,241,0
1727178279396,43,236,0
1727178280397,42,230,0
1727178281397,42,229,0
1727178282399,41,225,0
1727178283399,40,216,0
1727178284400,39,213,0
1727178285400,37,199,0
1727178286401,36,199,0
1727178287402,34,181,0
1727178288403,31,168,0
1727178289404,30,164,22
1727178290404,30,164,108
1727178291405,30,164,196
1727178292425,30,164,285
1727178293425,27,140,369
1727178294428,26,140,398
1727178295429,26,146,390
1727178296430,24,134,353
1727178297431,23,130,264
1727178298431,22,126,187
1727178299432,22,126,111
1727178300433,20,114,37
1727178301433,19,110,1
1727178302434,16,94,0
1727178303435,14,83,0
1727178304436,13,80,0
1727178305437,13,80,0
1727178306438,13,80,0
1727178307439,14,84,0
1727178308440,12,68,0
1727178309441,13,76,0
1727178310442,12,68,0
1727178311442,12,67,0
1727178312443,12,66,25
1727178313443,12,66,59
1727178314443,11,59,91
1727178315443,11,60,123
1727178316444,11,60,154
1727178317445,11,60,157
1727178318446,11,60,154
1727178319446,10,56,150
1727178320448,10,56,149
1727178321449,10,56,144
1727178322452,10,56,129
1727178323453,9,52,99
1727178324453,9,52,69
1727178325454,9,52,40
1727178326455,9,52,13
1727178327456,9,52,0
1727178328456,8,44,0
1727178329456,8,44,0
1727178330458,8,44,0
1727178331458,8,44,0
1727178332458,8,44,0
1727178333459,8,44,0
1727178334459,8,44,0
1727178335460,8,44,0
1727178336460,8,44,0
1727178337461,8,44,0
1727178338462,8,44,0
1727178339463,7,40,0
1727178340463,7,40,0
1727178341465,7,40,0
1727178342466,7,40,0
1727178343467,7,40,0
1727178344468,7,40,0
1727178345468,7,40,0
1727178346470,7,40,0
1727178347470,7,40,0
1727178348471,7,40,0
1727178349471,7,40,0
1727178350472,7,40,0
1727178351472,7,40,0
1727178352473,7,40,3
1727178353474,6,36,12
1727178354474,6,36,23
1727178355475,6,36,32
1727178356476,6,36,42
1727178357477,6,36,49
1727178358478,6,36,50
1727178359479,6,36,50
1727178360480,6,36,50
1727178361480,6,36,51
1727178362481,6,36,50
1727178363482,6,36,50
1727178364483,6,36,50
1727178365484,6,36,50
1727178366484,6,36,49
1727178367486,6,36,48
1727178368486,6,36,49
1727178369487,6,36,49
1727178370488,6,36,48
1727178371489,6,36,48
1727178372490,6,36,47
1727178373490,6,36,47
1727178374492,6,36,47
1727178375492,6,36,48
1727178376494,6,36,47
1727178377495,6,36,48
1727178378495,6,36,49
1727178379496,6,36,48
1727178380497,6,36,48
1727178381497,6,36,48
1727178382498,6,36,48
1727178383499,5,32,45
1727178384500,5,32,43
1727178385500,5,32,39
1727178386501,5,32,36
1727178387502,5,32,34
1727178388503,5,32,33
1727178389503,5,32,34
1727178390504,5,32,33
1727178391506,5,32,33
1727178392507,5,32,33
1727178393507,5,32,33
1727178394508,5,32,31
1727178395510,5,32,25
1727178396510,5,32,19
1727178397511,5,32,12
1727178398511,5,32,5
1727178399512,5,32,1
1727178400513,5,32,0
1727178401513,5,32,0
1727178402515,5,32,0
1727178403515,5,32,0
1727178404516,5,32,0
1727178405516,5,32,0
1727178406517,5,32,0
1727178407518,5,32,0
1727178408518,5,32,0
1727178409519,5,32,0
1727178410520,5,32,0
1727178411522,5,32,0
1727178412524,5,32,0
1727178413525,5,32,0
1727178414525,5,32,0
1727178415526,5,32,0
1727178416526,5,32,0
1727178417529,5,32,0
1727178418530,5,32,0
1727178419531,5,32,0
1727178420532,5,32,0
1727178421533,5,32,0
1727178422534,5,32,0
1727178423534,5,32,0
1727178424535,5,32,1
1727178425535,5,32,8
1727178426537,5,32,15
1727178427538,5,32,22
1727178428538,5,32,29
1727178429539,5,32,31
1727178430540,5,32,32
1727178431541,5,32,31
1727178432541,5,32,32
1727178433542,5,32,32
1727178434543,5,32,32
1727178435544,5,32,32
1727178436544,5,32,32
1727178437546,5,32,31
1727178438547,5,32,32
1727178439548,5,32,32
1727178440548,5,32,33
1727178441549,5,32,32
1727178442550,5,32,32
1727178443551,5,32,32
1727178444552,5,32,31
1727178445553,5,32,32
1727178446554,5,32,32
1727178447555,5,32,32
1727178448557,5,32,32
1727178449557,5,32,32
1727178450558,5,32,32
1727178451558,5,32,32
1727178452559,5,32,31
1727178453560,5,32,32
1727178454561,5,32,32
1727178455562,5,32,32
1727178456563,5,32,32
1727178457564,5,32,32
1727178458564,5,32,32
1727178459565,5,32,31
1727178460566,5,32,31
1727178461567,5,32,31
1727178462567,5,32,32
1727178463569,5,32,32
1727178464569,5,32,32
1727178465570,5,32,32
1727178466570,5,32,32
1727178467574,5,32,32
1727178468574,5,32,32
1727178469575,5,32,32
1727178470576,5,32,32
1727178471577,5,32,30
1727178472579,5,32,32
1727178473579,5,32,32
1727178474580,5,32,32
